"Handle","Title","Body","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Grams","Variant Inventory Tracker","Variant Inventory Quantity","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare at Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","SEO Title ","SEO Description","Collection"
"GAN-BLK-EMB","Lord Ganesh Embellished Card","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","GAN-BLK-EMB","
Greeting Card Hand-embellished With Glitter and Crystals, With Matching Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God.","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","965","deny","manual","8","","1","1","","GAN-BLK-EMB516.jpg","","","","GAN-BLK-EMBb131.jpg","lb","","","",""
"GAN-BL-EMB","Lord Ganesh Embellished Card","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","GAN-BL-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God.","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","989","deny","manual","8","","1","1","","GAN-BLU-EMB517.jpg","","","","GAN-BLU-EMBb127.jpg","lb","","","",""
"GAN-BL-PL","Ganesha Purana Card","Ganesha Purana, Hindu Elephant-Deity Card","GAN-BL-PL","
Greeting Card With Matching Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God, Ganesha Purana","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","991","deny","manual","3.5","","1","1","","GAN-BLU9941.jpg","","","","GAN-BLUb993.jpg","lb","","","",""
"GAN-FL-PL","Lord Ganesha Card","Ganesha, The Elephant God, Patron of Arts and Sciences","GAN-FL-PL","
Greeting Card With Matching Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God, Patronage, Patron of the Arts, Patron of Science, art, science","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","92","deny","manual","3.5","","1","1","","GAN-FL9871.jpg","","","","GAN-FLb986.jpg","lb","","","",""
"GAN-FL-EMB","Lord Ganesh Embellished Card","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","GAN-FL-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Matching Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God.","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","970","deny","manual","8","","1","1","","GAN-FL-EMB518.jpg","","","","GAN-FL-EMBb519.jpg","lb","","","",""
"GAN-YE-PL","Lord Ganesh Card","Ganesh, Lord of Success Card","GAN-YE-PL","
Greeting Card With Matching Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God, Lord of success","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","89","deny","manual","3.5","","1","1","","GAN-YE990.jpg","","","","GAN-YEb991.jpg","lb","","","",""
"GAN-YE-EMB","Lord Ganesh Embellished Card","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","GAN-YE-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God.","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","987","deny","manual","8","","1","1","","GAN-YE890.jpg","","","","GAN-YE-EMBb521.jpg","lb","","","",""
"GT-2-EMB","Green Tara Embellished Card","Tara was born of a tear of Avalokiteshwara ~ she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","GT-2-EMB","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","Green Tara, Goddess Tara, Buddhist Mother of Compassion, Goddess of Compassion, Tara, Goddess of Health, Goddess of Longevity, Tara","","Category1","Embellished Cards","Category2","Buddhist Cards","","","0.1","","990","deny","manual","8","","1","1","","GT-2-EMB457.jpg","","","","GT-2-EMBb458.jpg","lb","","","",""
"GT-2-PL","Mother Tara Card","Mother Tara (Jetsun Dolma in Tibetan) Card","GT-2-PL","
Greeting Card With Matching Envelope","Green Tara, Goddess Tara, Buddhist Mother of Compassion, Goddess of Compassion, Tara, health, prosperity, abundance, wellbeing, wealth, vitality, long life, longevity, Tibetan, Jetsun Dolma, Mother Tara","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.1","","100","deny","manual","3.5","","1","1","","GT-2448.jpg","","","","GT-2b947.jpg","lb","","","",""
"GT-3-EMB","Green Tara Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","GT-3-EMB","","","","Category1","Embellished Cards","Category2","Buddhist Cards","","","0.1","","999","deny","manual","8","","1","1","","GT-3-EMB157.jpg","","","","GT-3-B.jpg","lb","","","",""
"GUAD-OH-PL","Our Lady of Guadalupe Card","
Virgin Of Guadalupe Card
Greeting Card With Matching Envelope","GUAD-OH-PL","
","the virgin, virgin of Guadalupe, our lady of Guadalupe, virgin mary, mary, mother mary, mother of Christ, merciful mother","","Category1","Plain Cards","Category2","Christian Cards","","","0.2","","100","deny","manual","3.5","","1","1","","GUAD-OH813.jpg","","","","GUAD-OHb812.jpg","lb","","","",""
"MAR-HUM-PL","Mary Of Humility Card","Mary Of Humility Card
Greeting Card With Matching Envelope","MAR-HUM-PL","
From A Russian Orthodox Icon","humility, mother mary, virtues, mother mary, Russian Orthodox, icons, madonna","","Category1","Plain Cards","Category2","Christian Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","MAR-HUM785.jpg","","","","MAR-HUMb784.jpg","lb","","","",""
"MAR-OB-2-PL","Ostra Bramskaya Mary Card","Ostra Bramskaya Mary, Of Lithuania, Card","MAR-OB-2-PL","
Greeting Card With Matching Envelope","Mary, Ostra Brama Mary, Virgin Mary, Holy Mother, Mary Of Lithuania, The Madonna","","Category1","Plain Cards","Category2","Christian Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","MAR-OB-2786.jpg","","","","MAR-OB-2b820.jpg","lb","","","",""
"GUAD-OH-EMB","Guadalupe Embellished Card","Our Lady of Guadalupe Embellished Card","GUAD-OH-EMB","
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope","Virgin of Guadalupe, Our Lady of Guadalupe, Merciful Mother, The Virgin Mary, Mother Mary","","Category1","Embellished Cards","Category2","Christian Cards","","","0.2","","1000","deny","manual","8","","1","1","","GUAD-OH845.jpg","","","","GUAD-OH-EMBb485.jpg","lb","","","",""
"HAN-EMB","Lord Hanuman Embellished Card","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","HAN-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","988","deny","manual","8","","1","1","","HAN-EMB522.jpg","","","","HAN-EMBb150.jpg","lb","","","",""
"HAN-PL","Hanuman Card","Lord Hanuman, God of Loyalty, Devotion, and Service, Card","HAN-PL","
Greeting Card With Matching Envelope","Hanuman, Lord hanuman, Hindu God Hanuman, Hindu God of Devotion, Loyalty, Service, Hindu Monkey God, monkeys, animals","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","999","deny","manual","3.5","","1","1","","HAN985.jpg","","","","HANb984.jpg","lb","","","",""
"JE-OAK-PL","Jesus Meditaing Card","Jesus Meditates Under An Oak Tree Card","JE-OAK-PL","
Greeting Card With Matching Envelope","Jesus, Jesus Christ, The Compassionate One, Christ, The Lord, Our Saviour, Meditation, Oak Tree, trees","","Category1","Plain Cards","Category2","Christian Cards","","","0.2","","98","deny","manual","3.5","","1","1","","JE-OAK823.jpg","","","","JE-OAKb824.jpg","lb","","","",""
"JES-MED-PL","Jesus Christ Card","Jesus in meditation under the stars.","JES-MED-PL","
Greeting Card With White Envelope","Jesus, Jesus Christ, The Compassionate One, Christ, The Lord, Our Saviour, Meditation, Jesus in Meditation, The Messiah, stars, under the stars, meditating under the stars","","Category1","Plain Cards","Category2","Christian Cards","","","0.2","","93","deny","manual","3.5","","1","1","","JES-MED-A1.jpg","","","","JES-MED-B.jpg","lb","","","",""
"JOY-PL","Pure Joy Card","Joyful Elephant Under a Waterfall","JOY-PL","
Greeting Card With Matching Envelope","elephant, waterfall, animals, wild animals, water, joy, fun, bliss, animals in water","","Category1","Plain Cards","Category2","Nature Cards","","","0.2","","82","deny","manual","3.5","","1","1","","JOY358.jpg","","","","JOY-B.jpg","lb","","","",""
"K&R-2-PL","Krishna And Radha Card","Krishna And Rhada, Love Personified, Card","K&R-2-PL","
Greeting Card With Matching Envelope","Krishna and Radha, Hindu Divine Couple, Lord Krishna and His Consort Radha, Krishna, Radha, love","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","98","deny","manual","3.5","","1","1","","KR-2042.jpg","","","","KR-2b041.jpg","lb","","","",""
"CAN-BUD-BEL","Blessing Buddha Candle","Blessing Buddha With Bowl of Incence Candle","CAN-BUD-BEL","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours.","candles, white candle, white wax, wax candle, wick, lead-free wick, lead free, 3 X 6 candle, white wax pillar candle, pillar candles, natural wax candle, vegetable wax candle, 60 hour candle, sacred image candle, Buddha candle, blessing candle, blessing Buddha, blessing Buddha candle, blessing","","Category1","Candles","Category2","","","","1.06","","100","deny","manual","15","","1","1","","IMG0367-001.JPG","","","","","lb","","","",""
"K&R-2-EMB","Krishna and Radha Embellished Card","Lord Krishna and Radha","K&R-2-EMB","
Greeting Card Hand-embellished With Glitter and Crystals, With Matching Envelope","Krishna, Lord Krishna, Radha, Krishna and Radha, Hindu Divine Couple","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","988","deny","manual","8","","1","1","","KR-2-EMB514.jpg","","","","KR-2-EMBb515.jpg","lb","","","",""
"KAL-BLU-EMB","Kali Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","KAL-BLU-EMB","","","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.2","","100","deny","manual","7.8","","1","1","","KAL-BLU-EMB.jpg","","","","KAL-BLU-B.jpg","lb","","","",""
"KAL-BLU-PL","Goddess Kali Card","Black Goddess Kali, <span>Slayer of Time &amp; Death, Destroyer of Illusion,</span> Card
 ","KAL-BLU-PL","
Greeting Card With Matching Envelope ","Goddess Kali, Kali, Hindu Goddess, Daughter of Durga, time, slayer, death, illusion, destroyer","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","98","deny","manual","3.5","","1","1","","KAL-BLU016.jpg","","","","KAL-BLUb017.jpg","lb","","","",""
