"Handle","Title","Body","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Grams","Variant Inventory Tracker","Variant Inventory Quantity","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare at Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","SEO Title ","SEO Description","Collection"
"VIR-PA-PL","Virgin In Paradise Card","Virgin In Paradise Card","VIR-PA-PL","
Greeting Card With Matching Envelope","Virgin, Virgin Mary, Mary, Angels, Virgin and Angels, Mother Mary, Madonna, Angelic Host, Paradise, Elysium, Heaven, music, musicians","","Category1","Plain Cards","Category2","Christian Cards","","","0.2","","100","deny","manual","3.5","","1","1","","VIR-PA794.jpg","","","","VIR-PAb795.jpg","lb","","","",""
"VIS-LAK-PL","Vishnu and Lakshmmi Card","Lord Vishnu &amp; Goddess Lakshmi.","VIS-LAK-PL","
Greeting Card With White Envelope","","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","97","deny","manual","3","","1","1","","VIS-LAK-A1.jpg","","","","VIS-LAK-B.jpg","lb","","","",""
"VISH-EMB","Lord Vishnu Embellished Card","The Preserver, Lord of the Heart - ""I bow to Vishnu, with the benign form, reclining on the serpent. The lotus issues forth from the navel and He is the very universe. He is the supreme among the Gods, the consort of Lakshmi, and He resplendent like the sky, and the color of the clouds and with auspicious limbs. His eyes are beautiful like the lotus and He is ever in the hearts of His bevolved devotees. He is the one and only Lord of all this universe and can save us from the cycle of repeated births and deaths.""","VISH-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","992","deny","manual","8","","1","1","","VISH-EMB523.jpg","","","","VISH-EMBb524.jpg","lb","","","",""
"WWL-PL","Woman With Lotus Card","Woman Holding a Lotus Blossom","WWL-PL","
Greeting Card With Matching Envelope","Woman, Flowers, Lotus, Lotus Flower, Lotus Blossom, Women and Flowers","","Category1","Plain Cards","Category2","Art Cards","","","0.2","","973","deny","manual","3.5","","1","1","","WWL356.jpg","","","","WWL-B.jpg","lb","","","",""
"AW-MS-PL","Mystic Stallion Card","The Ascending World Collection
Greeting Card With White Envelope","AW-MS-PL","
Mystic Black Stallion Card","Wild Stallions, Mystical, Animals, Horse, Horse Greeting Cards, Animal Cards, Mystical Cards","","Category1","Plain Cards","Category2","Ascending World Cards","","","0.2","","1000","deny","manual","3.5","","1","1","","MH190.jpg","","","","AW-MSb092.jpg","lb","","","",""
"YNG-KRI-PL","Young Krishna Card","Greeting Card With White Envelope","YNG-KRI-PL","","","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","96","deny","manual","3","","1","1","","YNG-KRI-A1.jpg","","","","YNG-KRI-B.jpg","lb","","","",""
"VIR-JS-EMB","Virgin Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","VIR-JS-EMB","","","","Category1","Embellished Cards","Category2","Christian Cards","","","0.2","","99","deny","manual","7.8","","1","1","","VIR-JS-EMB.jpg","","","","VIR-JS-B.jpg","lb","","","",""
"BRAM-PL-PR","Lord Brahma Print","Lord Brahma is the Creator of the Universe, the Supreme Being, the God of gods. He is the originator and the generator of mankind, and symbolizes the universal mind and the intellect. Brahma uses the swan as His vehicle. A swan possesses exceptional discernment which enables it to distinguish pure milk from a mixture of milk and water. This conveys the idea that there is only one Supreme Reality from which the entire universe emanates.","BRAM-PL-PR","
Custom Print","","","Category1","Plain Prints","Category2","Hindu Prints","","","0.5","","96","deny","manual","14","","1","1","","BRAM1682.jpg","","","","BRAM-B.jpg","lb","","","",""
"AN-PRY-PR","Angel In Prayer Print","""Angels transcend every religion, every philosophy, every creed. In fact angels have no religion as we know it. Their existence precedes every religious system that has ever existed on earth."" ~ St. Thomas Aquinas","AN-PRY-PR","
Custom Print","Prayer, Angel, Angel in Prayer, Heavenly Messenger, Angel Praying","","Category1","Plain Prints","Category2","","","","0.8","","99","deny","manual","14","","1","1","","AN-PRY-A.jpg","","","","","lb","","","",""
"AN-PRY-EMB-PR","Angel In Prayer Embellished Print","Angel in Prayer With Candle and Incense Burner
8 X 10 Custom Art Print, Hand-Embellished with Glitter and Crystals","AN-PRY-EMB-PR","
""Angels transcend every religion, every philosophy, every creed. In fact angels have no religion as we know it. Their existence precedes every religious system that has ever existed on earth."" ~ St. Thomas Aquinas","Prayer, Angel, Angel in Prayer, Heavenly Messenger, Angel Praying, incense, incense burner, candles","","Category1","Embellished Prints","Category2","Angel Prints","","","0.5","","1000","deny","manual","24","","1","1","","AN-PRY4003.jpg","","","","","lb","","","",""
"AN-PRY-EMB-PR","","","","
""Angels transcend every religion, every philosophy, every creed. In fact angels have no religion as we know it. Their existence precedes every religious system that has ever existed on earth."" ~ St. Thomas Aquinas","","","Category1","Embellished Prints","Category2","Angel Prints","","","0.8","","","deny","manual","30","","1","1","","AN-PRY4003.jpg","","","","","lb","","","",""
"GAB-FLU-PL-PR","Archangel Gabriel Print","Gabriel means ""God is my strength"". He is one of the most beloved and highest ranked of all angels. Gabriel is the Angel of Annunciation, Resurrection, Mercy, Death and Revelation. He sits at the left hand of God and is guardian of the Garden of Eden, and chief of the cherubim.","GAB-FLU-PL-PR","
Custom Print","Archangel Gabriel, Angels, Gabriel, angel of annunciation, highest ranked angel, angel of ressurection, angel of mercy, angel of revelation, God is my strength, left hand of God, guardian of the Garden of Eden, chief of the cherubim","","Category1","Plain Prints","Category2","Angel Prints","","","0.8","","1000","deny","manual","14","","1","1","","GAB-FLU753.jpg","","","","","lb","","","",""
"GAN-BL-PL-PR","Ganesha Purana Print","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","GAN-BL-PL-PR","
Ganesh 8X10 Art Print","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God, Ganesha Purana, art print, Elephant Deity","","Category1","Plain Prints","Category2","Hindu Prints","","","0.5","","1000","deny","manual","20","","1","1","","GAN-BLU994.jpg","","","","","lb","","","",""
"GAN-BL-PL-PR","","","","
Ganesh 8X10 Art Print","","","Category1","Plain Prints","Category2","Hindu Prints","","","0.5","","1000","deny","manual","14","","1","1","","GAN-BLU994.jpg","","","","","lb","","","",""
"MIC-BLK-PL-PR","Archangel Michael Print","His name means ""Who is as God."" Michael is the Chief of the Archangels, and is the Angel of Repentance, Righteousness, Mercy and Sanctification. He is also known as ""The Prince of Light,"" a spiritual warrior who wages war against the sons of darkness.","MIC-BLK-PL-PR","","Archangel Michael, Michael, Chief of the Archangels, angel of repentance, angel of righteousness, angel of mercy, angel of sanctification, spiritual warrior, who is as God, the prince of light","","Category1","Plain Prints","Category2","Angel Prints","","","0.8","","999","deny","manual","14","","1","1","","MIC-BLK7571.jpg","","","","","lb","","","",""
"MIC-BLK-PL-PR","","","","","","","Category1","Plain Prints","Category2","Angel Prints","","","0.8","","100","deny","manual","20","","1","1","","MIC-BLK7571.jpg","","","","","lb","","","",""
"CHR-GETH-PL-PR","Christ in Gethsemane Print","Christ in the Garden of Gethsemane","CHR-GETH-PL-PR","
8 X 10 Custom Art Print","Jesus Christ, The Shepherd, The Messiah, Our Lord, The Savior, Jesus, Meditation, Garden Of Gethsemane, Jesus Christ","","Category1","Plain Prints","Category2","Christian Prints","","","0.8","","999","deny","manual","14","","1","1","","CHR-GETH8351.jpg","","","","","lb","","","",""
"MA-LAK-EMB","Goddess Lakshmi Embellished Card","Hindu Goddess Embellished Lakshmi Card
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope","MA-LAK-EMB","
Hindu Goddess of Love, Beauty, and Prosperity","Goddess Lakshmi, Lakshmi, Goddess of Love, Goddess of Wealth, Goddess of Abundance, Goddess of Beauty, wealth, prosperity, abundance, wealth, Hindu Goddesses, Goddesses, Maha Lakshmi","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.5","","73","deny","manual","8","","1","1","","MA-LAK-EMB507.jpg","","","","MA-LAK-EMBb531.jpg","lb","","","",""
"KYLP-EMB","Kuan Yin Embellished Card","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","KYLP-EMB","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","Bodhisattva Kuan Yin, Kwan Yin, Guan Yin, Guan Shih Yin, Kuan Shih Yin, Quan Am, Guanyin, Kuanin,Great Mother, Goddess of Mercy, Mother of Compassion, Avalokitesvara, Mazu, A-ma, Matsu, Goddess of the Southern Sea, Kwannon ","","Category1","Embellished Cards","Category2","Kuan Yin Cards","","","0.1","","991","deny","manual","8","","1","1","","KY-LP-EMB4231.jpg","","","","ky-lp-B-emb-card049.jpg","lb","","","",""
"JE-FOR-PL-PR","Jesus In The Forest Print","Jesus In The Forest, With the Animals, Print","JE-FOR-PL-PR","
8 X 10 Custom Art Print","Jesus, Christ, forest, meditation, lotus posture, lotus, nature,Jesus, Jesus Christ, The Compassionate One, Compassion, The Lord, Our Saviour, Jesus' Heart, Sacred Heart, Compassionate Heart, The Lord's Heart, The Protector","","Category1","Plain Prints","Category2","Christian Prints","","","0.5","","1000","deny","manual","24","","1","1","","JE-FOR-PL049.jpg","","","","","lb","","","",""
"TRI-BUD-PL","Buddha Triptych Card","Buddha Triptych Card","TRI-BUD-PL","
Greeting Card With Matching Envelope","Buddha, Triptych, Three Paneled Card, Lord Buddha, Gautama Buddha, nature, waterfalls, art","","Category1","Plain Cards","Category2","Buddhist Cards","","","","","1000","deny","manual","3.5","","1","1","","TRI-BUD912.jpg","","","","TRI-BUDb186.jpg","lb","","","",""
"TRI-KY-PL","Kuan Yin Triptych Card","Bodhisattva Kuan Yin Triptych","TRI-KY-PL","
Greeting Card With Matching Envelope","Kuan Yin, Guan Yin, Kanon, Gwan Yin, Kuan Shih Yin, Bodhisattva, Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother, Triptych","","Category1","Plain Cards","Category2","Kuan Yin Cards","","","","","994","deny","manual","3","","1","1","","TRI-KY189.jpg","","","","TRI-KYb190.jpg","lb","","","",""
"GAB-PS-PL","Archangel Gabriel Card","Gabriel means ""God is My Strength."" He is one of the most beloved and highest ranked of all angels. Gabriel is the Angel of Annunciation, Ressurection, Mercy, Death and Revelation. He sits at the left hand of God and is guardian of the Garden of Eden, and chief of the cherubim.","GAB-PS-PL","Greeting Card With White Envelope","GAB-PS-PL","","Category1","Plain Cards","Category2","Angel Cards","","","0.2","","100","deny","manual","3","","1","1","","GAB -PS-A.jpg","","","","GAB-PS-B.jpg","lb","","","",""
"GAN-BL-EMB-PR","Lord Ganesh Embellished Print","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","GAN-BL-EMB-PR","
Custom Print Hand-embellished with Glitter and Crystals","Ganesh, Hindu God Ganesh, Ganesha, Lord Ganesh, Elephant-Faced God, Hindu Elephant God.","","Category1","Embellished Prints","Category2","Hindu Prints","","","0.5","","100","deny","manual","30","","1","1","","GAN-BLU-EMB5171.jpg","","","","","lb","","","",""
"GAN-BL-EMB-PR","","","","
Custom Print Hand-embellished with Glitter and Crystals","","","Category1","Embellished Prints","Category2","Hindu Prints","","","0.5","","99","deny","manual","24","","1","1","","GAN-BLU-EMB5171.jpg","","","","","lb","","","",""
"WWL-EMB","Woman With Lotus Embellished Card","Say not, ""I have found the truth,"" but rather, ""I have found a truth."" Say not, ""I have found the path of the soul."" Say rather, ""I have met the soul walking upon my path."" For the soul walks upon all paths. The soul walks not upon a line, neither does it grow like a reed. The soul unfolds itself like a lotus of countless petals. ~ Kahlil Gibran ","WWL-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","Woman with Lotus, lotus flower cards, Kahlil Gibran, unfolding soul, sacred lotus, spiritual awakening, growth, great beauty, beauty in struggle, purity, national flower of India, ","","Category1","Embellished Cards","Category2","Art Cards","","","0.1","","994","deny","manual","8","","1","1","","WWL373.jpg","","","","WWL-B.jpg","lb","","","",""
"DL-2-PL-PR","His Holiness The Dalai Lama Print","<span class=""normal"">His Holiness The Dalai Lama, In Prayer, Print</span>","DL-2-PL-PR","
Custom 8 X 10 Art Print","Dalai Lama, His Holiness, The Holy One, His Holiness the Dalai Lama, 14th Dalai Lama, spiritual teacher, spiritual leader of the Tibetan people, Tibetan Buddhism, Tenzin Gyatso, prayer, praying","","Category1","Plain Prints","Category2","Buddhist Prints","","","0.5","","100","deny","manual","14","","1","1","","DL-2929.jpg","","","","","lb","","","",""
"BUD-NAT-PR","Buddha Nature Print","Buddha in Nature With the Animals","BUD-NAT-PR","
Custom 8 X 10 Art Print","Buddha, Buddha in Nature, Buddha in meditation, meditating Buddha, Buddha and Animals","","Category1","Plain Prints","Category2","Buddhist Prints","","","0.5","","94","deny","manual","14","","1","1","","BUD-NAT9141.jpg","","","","","lb","","","",""
"MAR-CR-EMB","Mary Embellished Card","Mother Mary With a Rosary Embellished Card","MAR-CR-EMB","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","Miraculous Mary, Mary, Mother Mary, Virgin Mary, Mother of God, The Virgin, Madonna, Rosary, Prayer","","Category1","Embellished Cards","Category2","Christian Cards","","","0.1","","998","deny","manual","8","","1","1","","MAR-CR-EMB479.jpg","","","","MAR-CR-B1322.jpg","lb","","","",""
"ABS-W-PL","Absolute World, Hindu Heaven Card","Absolute World, Hindu Heaven Card","ABS-W-PL","
Greeting Card With White Envelope","Absolute World, Hindu Heaven, Hindu Greeting Card, Hindu Paradise, Eliseum, Heavenly Abode","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","1000","deny","manual","3","","1","1","","ABS-W-A1.jpg","","","","ABS-W-B.jpg","lb","","","",""
"AN-PRY-EMB","Angel In Prayer Embellished Card","Angel in Prayer With Candle and Incense Burner","AN-PRY-EMB","
<span style=""font-size: 12px; line-height: 14px;"">Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope.</span>","Angel, Prayer, Angel Praying, angel in prayer, Heavenly Messenger, angelic realm, candles, incense burner, incense","","Category1","Embellished Cards","Category2","Angel Cards","","","0.1","","997","deny","manual","8","","1","1","","AN-PRY400.jpg","","","","AN-PRY-B.jpg","lb","","","",""
"GAB-FLU-EMB","Archangel Gabriel Embellished Card","Archangel Gabriel Playing The Flute Embellished Card","GAB-FLU-EMB","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","archangel gabriel, angels, gabriel, music, flute, archangels","","Category1","Embellished Cards","Category2","Angel Cards","","","0.1","","988","deny","manual","8","","1","1","","GAB-FLU4062.jpg","","","","GAB-PS-B.jpg","lb","","","",""
"BUD-NAT-PL","Buddha Nature Card","Buddha in Nature With The Animals Card","BUD-NAT-PL","
Greeting Card With Matching Envelope","Buddha, Buddha in Nature, Buddha in Meditation, Meditating Buddha, animals, Buddha with animals, Buddha the Enlightened One, Buddha of Infinite Light, Lord of Pure Land, Lord Buddha","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.1","","100","deny","manual","3.5","","1","1","","BUD-NAT914.jpg","","","","BUD-NATb915.jpg","lb","","","",""
"GAB-MOS-EMB","Archangel Gabriel Embellished Card","Archangel Gabriel Holding Lilies and an Ave Maria Banner Mosaic Embellished Card","GAB-MOS-EMB","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","gabriel, archangel gabriel, angels, angelic realm, music, mosaic, archangels, heavenly host, Lilies, banner, Ave Maria, flowers","","Category1","Embellished Cards","Category2","Angel Cards","","","0.1","","998","deny","manual","8","","1","1","","GAB-MOS409.jpg","","","","GAB-MOS-B.jpg","lb","","","",""
"CHAK-PL","The Chakras Card","The Chakras, Or Energy Wheels, Card","CHAK-PL","
Greeting Card With Matching Envelope","Chakra, chakras energy centers, energy centers in body, nerve, energy wheels, ganglia, Sanskrit for wheel, Sanskrit for disk, levels of consciousness, developmental stages of life, Augusta Lucas-Andreae, archetypal elements, energy colors","","Category1","Plain Cards","Category2","Art Cards","","","0.1","","94","deny","manual","3.5","","1","1","","CHAK706.jpg","","","","CHAKb707.jpg","lb","","","",""
"CHAK-EMB","Chakras Embellished Card","<p class=""smallprint"">Chakras is a Sanskrit word for wheel or disk, and signifies one of seven basic energy centers in the body.","CHAK-EMB","
<p class=""smallprint"">Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope.","Chakra, chakras energy centers, energy centers in body, nerve ganglia, Sanskrit for wheel, Sanskrit for disk, levels of consciousness, developmental stages of life, Augusta Lucas-Andreae, archetypal elements, energy colors","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.1","","59","deny","manual","8","","1","1","","CHAK377.jpg","","","","CHAKb378.jpg","lb","","","",""
"BLU-DAS-PL","Blue Dasher Card","Blue Dasher Hummingbird Landing On a Branch Card","BLU-DAS-PL","
Greeting Card With Matching Envelope","blue dasher hummer, hummngbirds, blue, birds, branches","","Category1","Plain Cards","Category2","Nature Cards","","","0.1","","998","deny","manual","3.5","","1","1","","BLU-DAS396.jpg","","","","BLU-DASb397.jpg","lb","","","",""
"CHEN-PL","Chenrezig, Embodiment of Compassion Card","Chenrezig, Bodhisattva Who is The Embodiment of Compassion, Card","CHEN-PL","
Greeting Card With Matching Envelope","Chenrezig, goddess of compassion, compassion, Bodhisattva of compassion, Buddhist, Buddhist Gods, love and compassion, sincere acts, Bokar Rinpoche","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.1","","994","deny","manual","3.5","","1","1","","CHEN9011.jpg","","","","CHENb900.jpg","lb","","","",""
"GAB-MOS-PL","Archangel Gabriel Card","Archangel Gabriel Mosaic Card","GAB-MOS-PL","
Greeting Card With Matching Envelope","gabriel, archangel, angel, archangel gabriel, flute angel with flute, archangel with flute, musical instrument
","","Category1","Plain Cards","Category2","Angel Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","GAB-MOS762.jpg","","","","GAB-MOSb763.jpg","lb","","","",""
"GAB-FLU-PL","Archangel Gabriel Card","Archangel Gabriel Playing The Flute Card","GAB-FLU-PL","
Greeting Card With Matching Envelope","gabriel, archangel, angel, archangel gabriel, flute angel with flute, archangel with flute, musical instrument, playing the flute","","Category1","Plain Cards","Category2","Angel Cards","","","0.1","","975","deny","manual","3.5","","1","1","","GAB-FLU-PL407.jpg","","","","GAB-FLUb754.jpg","lb","","","",""
"CHEN-EMB","Chenrezig Embellished Card","<span class=""normal"">Goddess Chenrezig, Embodiment of Compassion</span>
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","CHEN-EMB","
""Every person whose heart is moved by love and compassion, who deeply and sincerely acts for the benefit of others without concern for fame, profit, social position, or recognition expresses the activity of Chenrezig."" ~ Bokar Rinpoche","Chenrezig, goddess of compassion, compassion, Bodhisattva of compassion, Buddhist, Buddhist Gods, love and compassion, sincere acts, Bokar Rinpoche","","Category1","Embellished Cards","Category2","Buddhist Cards","","","0.1","","81","deny","manual","8","","1","1","","CHEN-EMB4371.jpg","","","","CHEN-EMBb093.jpg","lb","","","",""
"CHEN-GD-PL","Chenrezig, Buddhist Goddess of Compassion, Card","Chenrezig, Buddhist Goddess of Compassion, Card","CHEN-GD-PL","
Greeting Card With Matching Envelope","Chenrezig, goddess of compassion, compassion, Bodhisattva of compassion, Buddhist, Buddhist Gods, love and compassion, sincere acts, Bokar Rinpoche","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.2","","100","deny","manual","3.5","","1","1","","CHEN-GD9201.jpg","","","","CHEN-GDb953.jpg","lb","","","",""
"BUD-AMID-PL","Amida Buddha Card","Amitabha or Meditation Buddha, In Dhyani Mudra Pose, Card","BUD-AMID-PL","
Greeting Card With Matching Envelope","Amida Buddha, Amitabha Buddha, Buddha, Enlightenment, Bodi, Meditation, Meditation Buddha, Dhyani Mudra, balance equanimity, Pure Land, Bliss","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","BUD-AMID944.jpg","","","","BUD-AMIDb904.jpg","lb","","","",""
"CHEN-GD-EMB","Chenrezig Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","CHEN-GD-EMB","","","","Category1","Embellished Cards","Category2","Buddhist Cards","","","0.2","","100","deny","manual","7.8","","1","1","","CHEN-GD-EMB.jpg","","","","CHEN-GD-B.jpg","lb","","","",""
"CHR-GPS-PL","Christ Card","Greeting Card With White Envelope","CHR-GPS-PL","","Christ, The Christ, Jesus, Son of God, Jesus Christ, The Compassionate One, Heinrich Hofmann, The Lord, Our Saviour, Our Savior, The Messiah
","","Category1","Plain Cards","Category2","Christian Cards","","","0.2","","100","deny","manual","3","","1","1","","CHR-GPS-A.JPG","","","","CHR-GPS-B.jpg","lb","","","",""
"CHR-PRO-PL","Christ The Protector Card","Christ, The Protector, Card","CHR-PRO-PL","
Greeting Card With Matching Envelope","Jesus, Jesus Christ, The Compassionate One, Christ, The Lord, Our Saviour, The Messiah, The Protector, Child, Children, Protector of Children, Protector of the Child, Jesus the Protector, Son of God, Kahlil Gibran","","Category1","Plain Cards","Category2","Christian Cards","","","0.2","","90","deny","manual","3.5","","1","1","","CHR-PRO838.jpg","","","","CHR-PROb837.jpg","lb","","","",""
"DEV-TRI-PL","Devi Trinity Card","<span class=""normal"">The Supreme Goddess Devi Trinity Card</span>","DEV-TRI-PL","
Greeting Card With Matching Envelope","Devi Trinity, Shakti, Shakta Hinduism, Hindu Goddess, Prakriti, primary form of God, active energy, the creator, the preserver, the destroyer, Supreme Goddess, The Creatrix, Hindu Female Creator, Hindu Female Trinity","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","95","deny","manual","3.5","","1","1","","DEV-TRI973.jpg","","","","DEV-TRIb972.jpg","lb","","","",""
"DEV-TRI-EMB","Devi Trinity Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","DEV-TRI-EMB","","","","Category1","","Category2","Christian Cards","","","0.2","","100","deny","manual","7.8","","1","1","","DEV-TRI-EMB.jpg","","","","DEV-TRI-B.jpg","lb","","","",""
"DL3-PL-PR","Dalai Lama Print","His Holiness The Dalai Lama, In Namaste Posture, Print","DL3-PL-PR","
Custom 8 X 10 Art Print","Dalai Lama, His Holiness, The Holy One, His Holiness the Dalai Lama, 14th Dalai Lama, spiritual teacher, spiritual leader of the Tibetan people, Tibetan Buddhism, Tenzin Gyatso, prayer of loving kindness, prayer of the loving kindness practice, Namaste","","Category1","Plain Prints","Category2","Buddhist Prints","","","0.5","","100","deny","manual","14","","1","1","","DL-39351.jpg","","","","","lb","","","",""
"DL-2-PL","Dalai Lama Card","His Holiness The Dalai Lama In Prayer Card","DL-2-PL","
Greeting Card With Matching Envelope","Dalai Lama, His Holiness, The Holy One, His Holiness the Dalai Lama, 14th Dalai Lama, spiritual teacher, spiritual leader of the Tibetan people, Tibetan Buddhism, Tenzin Gyatso, Prayer","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.2","","92","deny","manual","3.5","","1","1","","DL-29291.jpg","","","","DL-2b930.jpg","lb","","","",""
"DL3-PL","Dalai Lama Card","His Holiness The Dalai Lama Namaste Card","DL3-PL","
Greeting Card With Matching Envelope","Dalai Lama, His Holiness, The Holy One, His Holiness the Dalai Lama, 14th Dalai Lama, spiritual teacher, spiritual leader of the Tibetan people, Tibetan Buddhism, Tenzin Gyatso, prayer of loving kindness, prayer of the loving kindness practice,","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.2","","986","deny","manual","3.5","","1","1","","DL-3935.jpg","","","","DL-3b934.jpg","lb","","","",""
"DRAG-PL","Wisdom Dragon Card","Tibetan Wisdom Dragon Card","DRAG-PL","
Greeting Card With Matching Envelope","Tibet, wisdom, dragons, Far East, mythological animals","","Category1","Plain Cards","Category2","Art Cards","","","0.2","","100","deny","manual","3.5","","1","1","","DRAG722.jpg","","","","DRAGb080.jpg","lb","","","",""
"DRAG-EMB","Wisdom Dragon Embellished Card","In the East, dragons have always been regarded as symbols of power and regality. In ancient times, only imperial rulers could use the icon of these wise and noble creatures. Dragons can bring good fortune and rain to the land, as well as give spiritual and material gifts to its people. They are truley magical and wise creatures, who will only fully reveal themselves to those mortals who are without fear.","DRAG-EMB","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","","","Category1","Embellished Cards","Category2","Art Cards","","","0.1","","1000","deny","manual","8","","1","1","","DRAG380.jpg","","","","DRAG-B.jpg","lb","","","",""
"DUR-3-EMB","Durga Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","DUR-3-EMB","","","","Category1","Embellished Cards","Category2","Hindu Cards","","","0.2","","96","deny","manual","8","","1","1","","DUR-3-EMB502.jpg","","","","DUR-3-EMBb503.jpg","lb","","","",""
"DUR-3-PL","Maa Durga Card","Hindu Goddess Maa Durga Card, Banisher of Darkness","DUR-3-PL","
Greeting Card With Matching Envelope","Maa Durga, Hindu Goddess Durga, Banisher of Darkness, Mother of the Universe, Durga, Dura Ma, Mother Durga, Kali's Mother","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","996","deny","manual","3.5","","1","1","","DUR-3022.jpg","","","","DUR-3b043.jpg","lb","","","",""
"DUR-4-PL","Goddess Durga Card","Durga, Banisher of Darkness, Card","DUR-4-PL","
 Greeting Card With Matching Envelope","Goddess Durga, Durga, Goddesses, Mother of Kali, Banisher, Darkness, Hindu Goddess","","Category1","Plain Cards","Category2","Hindu Cards","","","0.2","","99","deny","manual","3","","1","1","","DUR-4024.jpg","","","","DUR-4b025.jpg","lb","","","",""
"CAN-GAN-YE","Ganesh Candle","Lord Ganesh, Remover of Obstacles Candle","CAN-GAN-YE","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours.","candles, white candle, white wax, wax candle, wick, lead-free wick, lead free, 3 X 6 candle, white wax pillar candle, pillar candles, natural wax candle, vegetable wax candle, 60 hour candle, sacred image candle, ganesh candle, lord ganesh candle, remover of obstacles candle","","Category1","Candles","Category2","","","","1.06","","100","deny","manual","15","","1","1","","IMG2785.JPG","","","","","lb","","","",""
"FORT-PL","Fortuna, Goddess of Fortune Card","Fortuna, Goddess of Fortune Card","FORT-PL","
Greeting Card With Matching Envelope","Goddess, Goddess of Fortune, Abundance, wealth, riches, gifts, fortune, blessings, giving, Malachi,Heaven, Lord of Hosts","","Category1","Plain Cards","Category2","Art Cards","","","0.1","","984","deny","manual","3.5","","1","1","","FORT720.jpg","","","","FORTb721.jpg","lb","","","",""
"LAK-PL","Goddess Lakshmi Card","Lakshmi, Goddess of Beauty, Abundance, and Love Card","LAK-PL","
<span> Greeting Card With Matching Envelope</span>","Goddess Lakshmi, Lakshmi, Goddess of Love, Goddess of Wealth, Goddess of Abundance, Goddess of Beauty, wealth, prosperity, abundance, wealth, Hindu Goddesses, Goddesses, Maha Lakshmi","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","LAK032.jpg","","","","LAK-B.jpeg","lb","","","",""
